RDSI ID,Road Type,Road Name,Road Width (m),Road Length (m),Road Median Available,Road Pedestrian Available,Road Street Light Available,Road under ground Available,Road Bus Shelter Available
1000450300200,ULB ROAD,NARAYANASAMY LAYOUT,7.72,16.72,Not Available,Not Available,Not Available,Not Available,Not Available
1000450300201,ULB ROAD,NARAYANASAMY LAYOUT,7.72,112.30,Not Available,Not Available,Available,Not Available,Not Available
1000450300202,ULB ROAD,KAMACHI NAGAR,6.96,131.99,Not Available,Not Available,Available,Not Available,Not Available
1000450300203,ULB ROAD,KANNAPPA NAGAR 7TH STREET,4.29,70.52,Not Available,Not Available,Available,Not Available,Not Available
1000450300204,ULB ROAD,S P KANNUSAMY STREET,2.66,142.28,Not Available,Not Available,Available,Not Available,Not Available
1000450300205,ULB ROAD,KANNAPPA NAGAR 4TH STREET,4.29,98.35,Not Available,Not Available,Available,Not Available,Not Available
1000450300206,ULB ROAD,KANNAPPA NAGAR MAIN STREET,7.72,27.56,Not Available,Not Available,Not Available,Not Available,Not Available
1000450300207,ULB ROAD,KANNAPPA NAGAR MAIN STREET,7.72,26.69,Not Available,Not Available,Not Available,Not Available,Not Available
1000450300208,ULB ROAD,NARAYANASAMY GOUNDER STREET,7.72,28.03,Not Available,Not Available,Available,Not Available,Not Available
1000450300209,ULB ROAD,NARAYANASAMY GOUNDER STREET,7.72,28.98,Not Available,Not Available,Available,Not Available,Not Available
1000450300210,ULB ROAD,NARAYANASAMY GOUNDER STREET,7.72,30.51,Not Available,Not Available,Available,Not Available,Not Available
1000450300211,ULB ROAD,NARAYANASAMY GOUNDER STREET,7.72,80.78,Not Available,Not Available,Available,Not Available,Not Available
1000450300212,ULB ROAD,NARAYANASAMY GOUNDER STREET,7.72,46.59,Not Available,Not Available,Available,Not Available,Not Available
1000450300213,ULB ROAD,KANNAPPA NAGAR 9TH STREET,4.52,19.09,Not Available,Not Available,Available,Not Available,Not Available
1000450300214,ULB ROAD,KANNAPPA NAGAR 8TH STREET,4.52,26.97,Not Available,Not Available,Not Available,Not Available,Not Available
1000450300215,ULB ROAD,KANNAPPA NAGAR 10TH  STREET,5.06,53.70,Not Available,Not Available,Available,Not Available,Not Available
1000450300216,ULB ROAD,KANNAPPA NAGAR 9TH STREET,4.29,61.50,Not Available,Not Available,Available,Not Available,Not Available
1000450300217,ULB ROAD,KANNAPPA NAGAR 2ND STREET,4.29,110.97,Not Available,Not Available,Available,Not Available,Not Available
1000450300218,ULB ROAD,KANNAPPA NAGAR  FIRST STREET,4.29,117.52,Not Available,Not Available,Available,Not Available,Not Available
1000450300219,ULB ROAD,M.G.R NAGAR,5.06,53.56,Not Available,Not Available,Not Available,Not Available,Not Available
1000450300220,ULB ROAD,VELLAMMAL STREET,5.12,82.38,Not Available,Not Available,Available,Not Available,Not Available
1000450300221,ULB ROAD,LAKSHMIAMMAL STREET,5.35,29.26,Not Available,Not Available,Available,Not Available,Not Available
1000450300222,ULB ROAD,M.G.R NAGAR,5.35,82.95,Not Available,Not Available,Available,Not Available,Not Available
1000450300223,ULB ROAD,THAIR ETTERY ROAD,5.12,48.61,Not Available,Not Available,Available,Not Available,Not Available
1000450300224,ULB ROAD,SANGANOOR MAIN ROAD,7.16,25.15,Not Available,Not Available,Available,Not Available,Not Available
1000450300225,ULB ROAD,SANGANOOR MAIN ROAD,7.16,103.99,Not Available,Not Available,Available,Not Available,Not Available
